pairid,gender,status,phase,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
61,female,S,control,-16,0,-5,0,-1,0,0,0,0,0,-38.273,-3,0,18.704000000000008,114.789
45,female,S,control,-15,-3,-6,0,0,5,0,0,0,0,-42.997,-4,0,-94.473,31.79
11,female,F,control,0,-22,-2,-2,19,19,0,0,0,0,-24.765,0,0,114.991,19.756
3,female,F,control,-25,0,-9,1,-6,1,-7,0,2,0,-12.578,0,0,4.173999999999992,4.174000000000002
30,female,F,control,0,-1,-1,0,-4,1,0,0,0,0,-226.624,0,0,-34.23400000000001,154.11800000000002
70,female,F,control,4,0,1,0,0,3,0,0,0,0,0,0,0,106.77900000000001,226.77900000000002
46,female,F,control,-24,-8,-3,-5,4,4,0,0,0,0,-22.049,0,0,123.47799999999998,145.527
4,female,S,control,-29,-1,-5,0,-4,-17,0,0,1,0,0,-2,0,123.062,-2.4510000000000005
62,female,F,control,-9,-2,-4,-2,-2,7,0,0,0,0,-99.634,-6,0,18.704000000000008,18.704
12,female,S,control,33,-1,-7,0,0,9,0,0,0,0,-99.047,0,0,33.518,22.243000000000002
61,male,S,control,-11,-2,0,-1,-2,2,0,0,0,0,-3.471,-2,0,18.704000000000008,55.022999999999996
29,male,S,control,-12,-3,-4,-1,8,13,0,0,0,0,-11.306,0,0,34.11800000000001,60.793
69,male,S,control,6,0,0,2,2,-1,0,0,0,0,-15.438,0,0,106.77900000000001,106.779
45,male,S,control,19,0,-2,0,0,0,0,0,0,0,-6.616,0,0,25.526999999999987,34.657
11,male,F,control,-22,0,-2,-3,0,0,0,0,0,0,-39.889,0,0,19.756,27.912
3,male,F,control,-26,0,-20,0,-3,-3,-2,0,2,0,-3.886,0,0,4.173999999999992,23.615000000000002
30,male,F,control,0,0,-15,0,0,0,0,0,0,-1,-45.937,0,0,106.436,154.11800000000002
70,male,F,control,3,0,2,0,0,0,0,0,0,0,-17.14,0,0,106.77900000000001,226.77900000000002
62,male,F,control,-45,0,-7,-1,1,18,0,0,0,0,-105.324,-1,0,-67.74099999999999,68.306
4,male,S,control,-65,2,-7,0,-9,-1,0,0,1,0,-5.747,0,0,4.173999999999992,86.641
46,male,F,control,-29,-10,-8,-4,4,10,0,0,0,1,-8.603,-1,0,125.02099999999999,50.69
12,male,S,control,49,0,-11,0,-2,0,0,0,0,0,-42.721,0,0,19.756,22.243000000000002
31,female,F,treatment,-105,1,-5,-1,14,11,-1,0,0,0,-34.453,-2,0,-31.724000000000004,83.136
63,female,F,treatment,-22,0,-15,0,0,1,0,0,0,0,-28.995,-1,0,31.918999999999983,142.886
71,female,F,treatment,-17,-3,-12,-1,5,5,0,0,0,0,0,-20,0,127.13300000000001,29.544
47,female,F,treatment,21,-1,4,0,8,0,0,0,0,0,-39.569,-8,0,9.182999999999993,19.871
5,female,S,treatment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,female,S,treatment,-3,-7,-4,-2,-8,-8,0,0,0,0,0,0,0,61.62299999999999,49.59599999999999
48,female,S,treatment,-39,0,-9,0,-3,21,0,0,0,0,-42.09,-4,0,42.899,42.899
64,female,S,treatment,-11,-1,-12,0,42,25,0,0,0,0,-17.691,-3,0,-59.333,31.92
72,female,S,treatment,32,3,0,0,-4,0,0,0,0,0,-27.503,2,0,-66.456,36.541
6,female,F,treatment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,male,F,treatment,-48,0,-9,1,5,6,0,0,0,0,-29.913,-4,-1,-31.948999999999998,162.607
63,male,F,treatment,-14,-11,-12,-1,-1,0,0,0,0,0,-165.377,0,0,31.918999999999983,151.91899999999998
71,male,F,treatment,23,0,-3,0,1,1,1,0,0,0,0,0,0,29.54400000000001,-74.809
47,male,F,treatment,23,0,-9,-2,-2,-1,0,0,0,0,-42.11,-1,0,9.182999999999993,19.871
5,male,S,treatment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,male,S,treatment,0,0,1,0,0,0,0,0,0,0,-40.385,0,0,30.326000000000008,48.856
32,male,S,treatment,-9,1,-5,0,0,20,0,-1,1,0,0,0,0,19.14500000000001,-54.711
64,male,S,treatment,-22,0,-9,0,1,7,0,0,0,0,-3.598,-7,0,-58.488,58.489
48,male,S,treatment,33,0,-9,1,3,2,-2,0,1,2,-39.292,-5,0,-110.81700000000001,22.759999999999998
6,male,F,treatment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,female,S,treatment,-54,2,-6,1,15,4,0,0,0,0,-49.642,-3,0,-46.013000000000005,34.669
7,female,F,treatment,-20,0,-7,-2,1,-10,1,0,0,0,-5.112,-2,0,107.748,58.675000000000004
33,female,S,treatment,-7,2,-5,0,-1,9,0,0,0,0,0,0,0,3.2789999999999964,-20.040999999999997
65,female,S,treatment,-21,-4,-3,0,5,0,0,0,0,0,-34.732,-5,0,140.202,26.596
73,female,S,treatment,-28,1,-13,-1,1,0,0,0,0,0,0,-3,0,18.650000000000006,-5.3679999999999986
50,female,F,treatment,-21,0,-19,-2,66,51,-2,0,0,0,0,-5,0,3.2900000000000063,3.29
8,female,S,treatment,1,-19,0,-3,0,17,1,0,0,0,-36.479,0,0,124.961,43.956999999999994
34,female,F,treatment,3,2,1,0,2,6,0,0,0,0,-250.194,0,0,2.722999999999999,4.775
66,female,F,treatment,1,0,0,0,0,20,0,0,0,0,-12.422,-1,0,24.958,24.958
74,female,F,treatment,12,-13,0,-1,6,6,0,0,0,0,-9.596,0,0,21.314999999999998,32.951
33,male,S,treatment,-12,0,-9,1,-1,0,1,0,0,0,0,-9,0,3.2789999999999964,-28.119999999999997
49,male,S,treatment,-19,-1,-11,0,14,0,-1,0,0,0,-37.352,-3,0,3.2900000000000063,11.478
7,male,F,treatment,-35,0,-6,0,-1,-2,2,0,0,0,-4.369,-3,0,58.675,62.695
65,male,S,treatment,-30,0,-2,0,3,3,0,0,1,0,-11.196,-5,0,24.956999999999994,144.957
73,male,S,treatment,-25,4,-4,0,4,6,-1,0,0,0,0,0,0,18.650000000000006,7.001999999999999
50,male,F,treatment,-38,0,-13,0,20,17,0,0,0,0,-34.431,-2,0,3.2900000000000063,45.488
8,male,S,treatment,2,-2,-1,-3,1,1,1,0,0,0,-20.553,0,-1,86.089,34.408
34,male,F,treatment,1,0,3,1,0,0,0,0,0,0,-4.945,0,0,2.722999999999999,2.7230000000000003
66,male,F,treatment,11,0,-14,0,0,1,-1,0,0,1,-1.455,-7,0,4.1370000000000005,87.752
74,male,F,treatment,39,-1,1,0,0,2,0,0,0,0,-26.511,0,0,19.432000000000002,22.841
75,female,F,treatment,-1,-4,-7,-4,1,0,0,0,0,0,-36.199,0,0,16.155,42.025
51,female,F,treatment,-2,-2,-3,0,-2,0,-1,0,0,0,-32.54,0,0,-1.6020000000000039,44.272
35,female,F,treatment,-9,0,-6,0,-9,-16,0,0,0,0,-20.151,0,0,-0.3849999999999909,24.63
17,female,S,treatment,-17,-1,-12,-1,0,1,3,0,0,0,-17.628,0,0,51.736000000000004,54.218
21,female,S,treatment,20,-3,-1,-3,0,0,0,0,0,0,-28.42,0,0,10.225000000000009,1.166
76,female,S,treatment,0,7,-2,-1,-1,15,0,0,0,0,-10.023,-1,0,-89.926,45.194
22,female,F,treatment,0,-5,-7,-1,-2,0,0,0,0,0,-3.297,0,0,1.811000000000007,14.983
36,female,S,treatment,11,-1,0,2,-8,-5,0,0,0,0,0,0,0,-55.043000000000006,-8.850000000000001
18,female,F,treatment,19,0,12,1,0,0,5,0,0,0,0,0,0,56.94800000000001,56.948
52,female,S,treatment,-17,1,-4,1,0,0,0,0,0,0,-63.642,-11,0,-15.918000000000006,26.163
75,male,F,treatment,-6,0,-6,3,0,1,0,0,0,0,-69.55,0,0,-33.819,146.768
51,male,F,treatment,-5,-1,-1,1,0,-2,0,0,0,0,-45.058,0,0,-45.087,44.845
35,male,F,treatment,-7,1,0,2,-4,-4,0,0,0,1,-9.563,0,0,-94.18799999999999,21.887
17,male,S,treatment,-7,0,-18,0,0,1,2,0,3,0,0,0,0,51.736000000000004,-42.297000000000004
21,male,S,treatment,17,-1,-3,0,-4,4,0,0,0,0,-44.679,0,0,1.1659999999999968,1.166
76,male,S,treatment,-1,-1,-3,6,-11,-4,0,0,0,0,-24.529,0,0,-71.333,26.768
22,male,F,treatment,-6,0,-11,0,-1,0,-1,0,3,0,0,0,0,1.811000000000007,21.585
52,male,S,treatment,-35,0,-13,0,1,0,0,0,0,0,-60.817,-26,0,26.16300000000001,46.016
36,male,S,treatment,15,-1,1,3,-4,-7,0,0,0,2,0,0,0,42.147000000000006,-71.624
18,male,F,treatment,27,-1,4,-1,0,0,3,0,-1,0,-34.511,0,0,56.94800000000001,60.725
