,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
45,AD,11,F,control,m,-5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,5.491
46,AD,13,S,control,m,6.0,0.0,0.0,-4.0,-1.0,0.0,1.0,0.0,0.0,0.0,25.271,9.37100000000001
47,AD,15,F,control,m,24.0,0.0,-2.0,2.0,-3.0,-3.0,0.0,0.0,0.0,0.0,-3.815999999999999,111.24300000000001
48,AD,17,F,treatment,m,17.0,-3.0,0.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,-8.803,99.185
49,AD,19,F,treatment,m,-8.0,-17.0,0.0,-7.0,-1.0,0.0,0.0,0.0,0.0,0.0,196.008,199.72
50,AD,21,S,treatment,m,35.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,-16.005,45.614000000000004
51,AD,23,S,treatment,m,-4.0,0.0,-2.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,4.337,62.891000000000005
52,AD,25,S,control,m,2.0,-9.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-112.763,113.753
53,AD,27,F,control,m,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.710000000000001,-39.024
54,AD,29,F,control,m,4.0,0.0,1.0,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.533,4.533000000000001
55,AD,31,S,treatment,m,5.0,-6.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,46.389,153.69299999999998
56,AD,33,S,treatment,m,3.0,1.0,1.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,-11.581,-83.068
57,AD,35,S,treatment,m,-1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,11.07,52.566
58,AD,37,S,treatment,m,0.0,0.0,5.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,20.045,20.044999999999987
59,AD,39,S,control,m,30.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.8149999999999997,24.672999999999988
60,AD,41,F,control,m,27.0,-2.0,0.0,-1.0,-10.0,0.0,0.0,-1.0,0.0,0.0,11.588000000000001,120.882
61,AD,43,S,control,m,-48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.354,16.739999999999995
62,AD,45,F,control,m,6.0,0.0,-2.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,7.7,-80.679
63,AD,47,S,treatment,m,-7.0,0.0,8.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.8040000000000003,-3.804000000000002
64,AD,49,S,treatment,m,-39.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.193,6.13000000000001
65,AD,51,S,treatment,m,-21.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,7.756,38.65899999999999
66,AD,53,S,treatment,m,19.0,0.0,2.0,4.0,-3.0,0.0,3.0,0.0,0.0,0.0,-37.382000000000005,69.269
67,AD,55,S,control,m,40.0,-3.0,2.0,0.0,-7.0,1.0,0.0,-1.0,0.0,0.0,-2.141000000000001,43.051
68,AD,57,F,control,m,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,-43.985,8.915000000000006
69,AD,59,S,control,m,-9.0,-1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,20.766,92.31800000000001
70,AD,61,F,control,m,-20.0,-1.0,-3.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.776999999999999,-17.016999999999996
71,AD,63,S,treatment,m,19.0,0.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.931000000000001,15.541000000000004
72,AD,65,S,treatment,m,4.0,-4.0,0.0,2.0,-5.0,1.0,0.0,0.0,0.0,0.0,-0.44400000000000084,23.459000000000003
73,AD,67,S,control,m,-1.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,16.987,-38.14
