status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
F,control,79,male,-22.0,0.0,-10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-49.069,69.521
F,treatment,5,female,0.0,-19.0,-2.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,-36.479,0.0,0.0,-53.718,-16.91
F,treatment,5,male,0.0,-2.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.553,0.0,-1.0,-92.59,-24.271
F,treatment,7,female,-20.0,0.0,-7.0,-2.0,1.0,-10.0,1.0,0.0,0.0,0.0,-5.112,-2.0,0.0,107.748,58.675000000000004
F,treatment,7,male,-35.0,0.0,-6.0,0.0,-1.0,-2.0,2.0,0.0,0.0,0.0,-4.369,-3.0,0.0,58.675,62.695
F,treatment,17,female,16.0,-9.0,-15.0,-1.0,-2.0,0.0,3.0,0.0,-1.0,0.0,-1.988,0.0,0.0,166.061,59.43
F,treatment,17,male,21.0,0.0,-5.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,-59.887,0.0,0.0,56.94800000000001,59.43
F,treatment,19,female,-8.0,0.0,-5.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,-77.858,1.0,0.0,0.8589999999999947,43.245
F,treatment,19,male,-71.0,0.0,-6.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0,-75.789,-1.0,0.0,0.8589999999999947,0.8579999999999997
F,treatment,22,female,0.0,-5.0,-7.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-3.297,0.0,0.0,1.811000000000007,14.983
F,treatment,22,male,-6.0,0.0,-11.0,0.0,-1.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.811000000000007,21.585
F,treatment,24,female,-5.0,-3.0,-5.0,-3.0,4.0,2.0,0.0,0.0,0.0,0.0,-28.42,0.0,0.0,19.593000000000004,76.68799999999999
F,treatment,24,male,-5.0,-1.0,-9.0,1.0,-1.0,4.0,0.0,0.0,0.0,0.0,-44.679,0.0,0.0,-109.46600000000001,130.534
F,treatment,32,female,-8.0,0.0,-6.0,0.0,-7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.890999999999991,97.48299999999999
F,treatment,32,male,-12.0,1.0,-10.0,2.0,-2.0,19.0,0.0,0.0,1.0,0.0,0.0,-9.0,0.0,-33.736999999999995,13.239999999999998
F,treatment,34,female,3.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,-250.194,0.0,0.0,2.722999999999999,4.775
F,treatment,34,male,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.945,0.0,0.0,2.722999999999999,2.7230000000000003
F,treatment,36,female,4.0,0.0,-3.0,2.0,-16.0,-4.0,0.0,0.0,0.0,0.0,-2.82,0.0,0.0,-96.994,3.3049999999999997
F,treatment,36,male,1.0,0.0,-16.0,3.0,-1.0,3.0,0.0,0.0,0.0,2.0,-3.826,-1.0,0.0,-0.3849999999999909,-0.385
F,treatment,38,female,7.0,-1.0,1.0,0.0,-6.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.274999999999991,-128.275
